model,id,type,maxZ,maxP,maxT,maxGrad,time.maxP,tstar.maxP,time.maxT,tstar.maxT,cls,recovered,phi,zc,z1100,age,cv
cdk46,11,7,105203.1328125,30058.037946428572,969.7579345703125,0.006622977053469698,11990709.469167603,1,11990709.469167603,1,7,FALSE,68,58,46,85,80
cdk46,12,7,101130.1796875,28894.33705357143,998.44500732421875,0.007173378012042492,11990709.469167603,1,11990709.469167603,1,7,FALSE,68,58,46,85,80
cdk46,13,7,88744.890625,25355.683035714286,971.54449462890625,0.007871377041644827,11648634.739156406,0.9714716855669973,11648634.739156406,0.9714716855669973,7,FALSE,68,58,46,85,80
cdk46,13,27,98974.4140625,28278.404017857145,1025.5150146484375,0.00760312674519338,11990709.469167603,1,11990709.469167603,1,7,FALSE,68,58,46,85,80
cdk46,14,7,64838.375,18525.25,784.90484619140625,0.0078950906186561,11990709.469167603,1,11990709.469167603,1,1,FALSE,68,58,46,85,80
cdk46,15,7,106071.8046875,30306.22991071429,942.49200439453125,0.006311686751884097,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,16,7,125337.453125,35810.700892857145,1001.6439819335938,0.005813457699726127,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,17,8,127391.21875,36397.49107142857,968.2310791015625,0.005457448997845956,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,18,7,124821.6875,35663.33928571428,986.36004638671875,0.005715032865476352,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,19,8,127593.890625,36455.39732142857,967.87554931640625,0.005445993894477706,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,20,7,127432.4375,36409.26785714286,971.58026123046875,0.005481965776809918,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,21,8,127976.53125,36564.72321428571,957.81097412109375,0.005351066851337977,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,22,7,127031.53125,36294.72321428572,973.2532958984375,0.005512436865145932,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,23,8,127942.90625,36555.11607142857,961.81793212890625,0.005383791507619488,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,24,7,127266.453125,36361.84375,973.99261474609375,0.0055080706465323185,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,25,8,128485.34375,36710.09821428572,948.42120361328125,0.005256795708368732,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,26,8,128355.234375,36672.92410714286,937.22271728515625,0.00517487830176506,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,27,8,128981.953125,36851.986607142855,908.79693603515625,0.004929348026068327,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,28,8,128752.421875,36786.40625000001,925.97479248046875,0.005071553474267171,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,29,8,129091.203125,36883.200892857145,910.177978515625,0.004935874506480822,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,30,8,128532.125,36723.46428571429,939.48492431640625,0.0051853567683285895,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,31,8,129309.6875,36945.625,904.2860107421875,0.004881969966420246,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,32,8,128909.46875,36831.27678571429,926.18634033203125,0.005067015997085406,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,33,8,129390.46875,36968.705357142855,906.4649658203125,0.004895762199024513,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,34,8,128859.984375,36817.138392857145,934.517333984375,0.005133613333828057,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,35,8,129288.21875,36939.49107142857,915.095458984375,0.004966388006520316,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,36,8,129485.046875,36995.72767857143,886.7484130859375,0.004739917294685209,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,37,8,129907.9375,37116.55357142857,870.1748046875,0.0045969077500556885,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,38,8,129632.578125,37037.87946428572,883.85870361328125,0.004712231388503686,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,39,8,130156.859375,37187.67410714286,862.7462158203125,0.004531042149082376,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,40,8,129702.65625,37057.90178571428,887.0689697265625,0.0047344363444874514,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,41,8,130289.34375,37225.52678571429,861.6712646484375,0.004518184278968997,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,42,8,129865.28125,37104.36607142857,885.58953857421875,0.004717115557582629,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,43,8,130302.53125,37229.29464285714,865.1666259765625,0.0045445519768178904,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,44,8,129974.140625,37135.46875,884.2933349609375,0.004703191973583687,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
