model,id,type,maxZ,maxP,maxT,maxGrad,time.maxP,tstar.maxP,time.maxT,tstar.maxT,cls,recovered,phi,zc,z1100,age,cv
cdp46,70,27,104641.3828125,29897.537946428572,1012.655029296875,0.007068475295497711,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,71,7,127807.765625,36516.50446428572,991.652587890625,0.0056229180157895825,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,72,7,82497.71875,23570.776785714286,979.55755615234375,0.008564570837328077,9596068.509814652,0.9318809679372664,9596068.509814652,0.9318809679372664,7,FALSE,110,64,46,110,100
cdp46,72,27,107219.5,30634.14285714286,1020.4773559570312,0.006971468398537871,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,73,7,122807.90625,35087.97321428572,1025.167236328125,0.006124746030576716,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,73,27,98383.71875,28109.633928571428,1005.5579223632812,0.007445926334872163,9596068.509814652,0.9318809679372664,9596068.509814652,0.9318809679372664,7,FALSE,110,64,46,110,100
cdp46,74,7,112904.65625,32258.473214285717,1008.0449829101562,0.006510315936683579,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,75,7,125572.234375,35877.78125,998.771240234375,0.005779711126800399,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,76,7,131335.53125,37524.4375,980.9981689453125,0.005390758785584251,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,77,8,132303.21875,37800.919642857145,958.93359375,0.005184557112296257,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,78,7,131204.6875,37487.05357142857,981.433837890625,0.005399455243476915,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,79,8,132591.609375,37883.31696428571,951.64019775390625,0.0051182740819937815,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,80,7,129414.15625,36975.47321428571,994.03436279296875,0.005571526204599188,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,81,8,132699.78125,37914.22321428572,951.2144775390625,0.0051108937117337,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
