T,P,grad,thickness,location,reference
380,1.7,6.38655462184874,10,Dom Rep,"Krebs et al., 2008"
420,1.7,7.0588235294117645,800,France/Italy,"Plunder et al., 2012"
495,1.7,8.319327731092438,130,NC,Vitale Brovarone and Agard 2013
510,1.7,8.571428571428571,1000,Japan,"Aoki et al., 2009. Aoya et al 2001"
575,1.7,9.663865546218489,3000,Ecuador,"Feininger, 1980; John et al. 2010"
500,1.75,8.16326530612245,100,Iran,Agard et al. 2006
520,1.75,8.489795918367347,8,Dom Rep,"Krebs et al., 2008, 2011"
410,1.8,6.507936507936508,800,France/Italy,"Agard et al., 2001a,b"
430,1.8,6.825396825396825,250,Dom Rep,Escuder-Viruete et al. 2011
535,1.8,8.492063492063492,1000,Japan,Ko et al. 2005
550,1.85,8.494208494208495,800,Italy,"Federico et al., 2004"
470,1.9,7.067669172932331,200,India,"Groppo et al., 2016"
525,1.9,7.894736842105263,300,Greece,Will et al. 1998 : Feenstra et al. 2007
545,1.9,8.19548872180451,130,NC,Vitale Brovarone and Agard 2013
600,1.9,9.022556390977444,100,NC,Carson et al. 1999
530,1.95,7.765567765567765,200,Greece,Trotet et al. 2001Laurent et al 2016
400,2,5.714285714285714,2200,Italy,"Cliff et al., 1998"
460,2,6.571428571428571,250,Dom Rep,Escuder-Viruete et al. 2011
500,2,7.142857142857143,200,France/Italy,Agard et al2001ab
545,2,7.785714285714286,2200,Italy,Castelli et al. 2002
575,2,8.214285714285714,3000,Ecuador,"Gabriele et al, 2003"
580,2,8.285714285714286,300,Greece,Trotet et al. 2001
600,2,8.571428571428571,5,Cuba,Garcia-Casco et al. 2002
670,2.1,9.115646258503402,8,NA,"Krebs et al., 2011"
575,2.15,7.641196013289036,800,Italy,"Messiga et al., 1995"
750,2.2,9.74025974025974,8,Dom Rep,Draper&Nagle 1991 : Krebs et al2008
480,2.25,6.095238095238095,300,China,Zhang et al. 2007
500,2.25,6.349206349206349,900,France,"Vitale Brovarone et al., 2013"
480,2.3,5.962732919254658,300,France/Italy,"Plunder et al., 2012"
530,2.3,6.583850931677019,20,Iran,Bonnet et al. 2018
540,2.3,6.708074534161491,1000,Switz/Italy,"Angiboust et al., 2009"
545,2.3,6.770186335403727,200,NC,Vitale Brovarone and Agard 2013
545,2.3,6.770186335403727,100,NC,Vitale Brovarone and Agard 2013
620,2.3,7.701863354037267,15,Dom Rep,"Escuder-Viruete and Pérez-Estaún, 2006"
585,2.35,7.112462006079028,20,USA,Tsujimori et al. 2006
500,2.4,5.9523809523809526,200,China,"Song et al., 2007"
540,2.5,6.171428571428572,350,China,"Bayet et al, 2018; Tan et al 2017"
550,2.55,6.162464985994398,2200,Italy,"Groppo and Castelli, 2010"
550,2.65,5.929919137466308,2200,Italy,Angiboust et al. 2011
575,2.75,5.974025974025974,1000,Switz,"Bucher et al., 2005"
615,2.8,6.275510204081633,20,Italy,"Reinecke, 1998"
600,3.2,5.357142857142857,50,Italy,"Groppo et al., 2009; Frezzoti et al., 2011"
