model,n.est,n.sigma,recovered.est,recovered.sigma,rec.ratio.est,rec.ratio.sigma,mode1.maxP.est,mode1.maxP.sigma,mode2.maxP.est,mode2.maxP.sigma,mode1.maxT.est,mode1.maxT.sigma,mode2.maxT.est,mode2.maxT.sigma,mode1.maxGrad.est,mode1.maxGrad.sigma,mode2.maxGrad.est,mode2.maxGrad.sigma,ratio.below.10kbar.est,ratio.below.15kbar.sigma,ratio.below.25kbar.est,ratio.below.25kbar.sigma,ratio.below.30kbar.est,ratio.below.30kbar.sigma,ratio.below.350C.est,ratio.below.350C.sigma,ratio.below.500C.est,ratio.below.500C.sigma,ratio.below.700C.est,ratio.below.700C.sigma,ratio.below.5Ckm.est,ratio.below.5Ckm.sigma,ratio.below.10Ckm.est,ratio.below.10Ckm.sigma,ratio.below.15Ckm.est,ratio.below.15Ckm.sigma,ratio.below.20Ckm.est,ratio.below.20Ckm.sigma,phi,zc,z1100,age,cv
cdf94,18891,0,1971.75,18.052190419651804,0.10437509925361282,9.55597396625472e-4,9252.592387168092,29.016228964127336,27950.113347042545,56.53154438953494,497.76713400469566,0.4438184464818083,944.5146615366104,34.76798765370259,0.006877117607854023,1.0771400684235403e-5,0.009775818962755749,2.9775411144799696e-5,0.47848646209386725,0.0068795031880996985,0.9512647063958102,0.005830595419680176,0.9927731503330137,0.003580893611019464,0.7768401997511528,0.005922528063679872,0.9502509557233558,0.006005560029986547,0.9940400617787234,0.003403470624357334,0.027184109725329756,0.002316949044273114,0.9874343361225066,6.219663778867102e-4,0.9994927959838972,4.636942763640517e-6,0.9994927959838972,4.636942763640517e-6,36.3,104,94,55,66
cdg46,18891,0,2133.05,18.04227491782913,0.11291355672013129,9.550725169567061e-4,12019.373077087661,12.101349402900052,19696.129334150904,58.74138975843902,646.4362227006817,0.6880521681429967,797.4359558732046,0.7714688999744967,0.008703771667295527,2.0001737074374663e-5,0.012433060751645037,1.7557983325821293e-5,0.18696311613713018,0.008249131425700627,0.9980552472954726,9.811406661471103e-4,0.9989833137190727,4.198241985197551e-4,0.23062124498261058,0.006550965981625174,0.8171960236359962,0.004049204710887034,0.9995311556711157,3.990721295358592e-6,0.03371374869315107,0.007422760570215762,0.5960130467445108,0.00914364921341309,0.9995077649426058,1.0467765587234371e-4,0.9995108338561473,9.096453963588634e-5,44.01,78,46,55,80
cdg62,18891,0,1362.8,18.746508446838,0.07214017256894817,9.923513020400193e-4,10017.283229215136,24.088121473142895,17312.343271211554,52.74496025282208,547.3448541680643,10.83587001495105,820.6505809797629,176.33894916925317,0.007908343222115144,1.1006947260771477e-4,0.007908343222115144,1.1006947260771477e-4,0.4134042309606376,0.004374770697034904,0.9957076905000588,0.0030808170147927235,0.997555419720341,0.0020111380063196,0.872608757777817,0.003934043771374527,0.9944331438563521,0.003921026998243214,0.9955090742458367,0.003225111105856196,0.021130871811804647,0.008085406981907212,0.9483297583329678,0.002269962038957441,0.9992660844012006,1.0118094385126846e-5,0.9992660844012006,1.0118094385126846e-5,44.01,75,62,55,80
cdg78,18891,0,1604.25,15.704089309878226,0.08492139113863745,8.313000534581665e-4,10059.838263745185,26.612132301421894,21479.88058936487,1860.6239750968243,571.6341043311315,0.7999686198675127,906.5145630463438,87.27846456447104,0.007525882559951024,2.5169311230928247e-4,0.01010032822535916,2.7117442331952233e-5,0.34596661949311686,0.003155400561656365,0.9928303802281395,0.00250841854066706,0.9972807476651749,0.0025834283337183733,0.8201357644924816,0.004037740668894126,0.9808148823778435,0.0027357704372157118,0.9971078719332607,0.0026349286933603578,0.03435926102206459,0.005547338752290097,0.9247927419344805,0.0026078371578603632,0.9993765987881134,6.126801256672061e-6,0.9993765987881134,6.126801256672061e-6,44.01,88,78,55,80
cdg94,18891,0,2153.5,13.096805556679602,0.11399608279074691,6.93282809627846e-4,9782.239433579402,9.984450099999771,26938.925074526676,56.84796110954238,561.917749856785,0.811636899687851,902.0055823233632,3.685497764758504,0.0069090786244994035,7.73525291418605e-6,0.009198696566003294,0.0012208114693678489,0.3389602298856043,0.0018264334548912745,0.9878964856483728,7.50509293189693e-4,0.9984193984662183,1.9251678515498923e-4,0.8803873239899396,0.0026268613549620726,0.987060787738567,7.974254843485931e-4,0.9988985988219817,1.3586522750071097e-4,0.01462683264337111,0.001403010601947549,0.9596473368014182,0.0013881566387988775,0.9995356233410791,2.823997373750764e-6,0.9995356233410791,2.823997373750764e-6,44.01,104,94,55,80
cdh46,18891,0,980.05,39.595952743736454,0.05187920173627653,0.0020960220604381167,9794.670505797485,133.29911141404835,16512.889198475834,1916.8415919784345,647.9652888393347,2.9665948729235403,664.8319450803849,39.43599672125036,0.008936891540211881,0.002099389149454995,0.010988694528461665,1.8136085457269974e-5,0.5465583637042508,0.03310549074954469,0.9989782517978746,3.631007084365067e-5,0.9989782517978746,3.631007084365067e-5,0.5272556478477097,0.018887759863461032,0.9392119711011573,0.009698678306749683,0.9989782517978746,3.631007084365067e-5,0.0175071722951885,0.030502824871588105,0.5687451851323059,0.022285649887953368,0.9986603326152381,1.1591926454715202e-4,0.9989782517978746,3.631007084365067e-5,55,59,46,55,100
cdh62,18891,0,1469.4,12.049896265113654,0.07778307130379546,6.378643938972883e-4,9945.190827129569,18.561631625324285,17318.634811308195,25.52644790891741,530.9677865386752,0.5816721150317583,562.1055378289169,26.03624469612952,0.007438483954918255,4.022539148251161e-5,0.007438483954918255,4.022539148251161e-5,0.4962352420234352,0.001619632747228668,0.9993194064736606,5.602205603803682e-6,0.9993194064736606,5.602205603803682e-6,0.8514458748472128,0.003340284615984957,0.9993194064736606,5.602205603803682e-6,0.9993194064736606,5.602205603803682e-6,0.01187976188338383,0.003075957923207304,0.8791343905575285,0.0031309207718959397,0.9993194064736606,5.602205603803682e-6,0.9993194064736606,5.602205603803682e-6,55,70,62,55,100
cdh78,18891,0,1634.65,13.2477406216663,0.08653062304801228,7.012725965627173e-4,9892.541420766696,59.02882081032079,17053.540124430274,1748.8123353029384,569.4267881793679,1.1953257508917667,746.832872550538,1.4524510013952867,0.006960274825431739,1.0447845129662736e-4,0.008895008584954699,5.6157121236979e-4,0.4348016069033746,0.05092294633213294,0.9976393824419041,5.19158434079591e-4,0.9977118670230972,5.189254341987753e-4,0.9233911263078037,0.002234236694910558,0.9959766538027849,5.144613214387536e-4,0.9993882098585762,4.98660173401211e-6,0.03339594571133052,0.0191084913860831,0.9653536472054006,0.005033765570133975,0.9993882098585762,4.98660173401211e-6,0.9993882098585762,4.98660173401211e-6,55,85,78,55,100
cdh94,18891,0,2291.25,13.309573127719208,0.12128791488010164,7.045457163580128e-4,8811.07588588908,46.654461528088646,12036.45148506308,99.98174700811776,580.0404151720749,1.2242518865496668,757.7129332227431,0.8157971586576008,0.006959572495379162,1.0413792166799983e-5,0.012255463631392783,1.0635366094385898e-5,0.3937626554735295,5.311602167882187e-4,0.9984525645715692,2.61063153542155e-4,0.9985040817235198,2.596353346034717e-4,0.8336346406323906,0.0028236121207679435,0.9973909815050034,3.1518944529487634e-4,0.9991217646517617,1.9394873826624034e-4,0.00983470481828781,7.133993732971941e-4,0.9176949525576513,0.0015479649573399425,0.9995635430493526,2.529977963627745e-6,0.9995635430493526,2.529977963627745e-6,55,104,94,55,100
cdi46,18891,0,1248.55,55.162415694593705,0.06609231909374834,0.0029200368267743217,11706.33922394767,18.386017732967645,28522.660676148724,9667.59741892073,596.3006376391626,1.498439923396099,914.7320061999947,120.59820019200308,0.006873116319845828,1.4602078235127625e-5,0.01274354168404791,2.113064935795821e-5,0.2519842654294112,0.041268913849432196,0.9480755356134494,0.04075475627884493,0.9598496830352663,0.031311215497414155,0.6918255172627362,0.031945255648287686,0.92966465386359,0.04142645595311978,0.9822370480895837,0.013114199894172531,0.0044384616472938985,0.004808009866182536,0.9185850146783852,0.00462464596652521,0.9991975558847855,3.6103059013576255e-5,0.9991975558847855,3.6103059013576255e-5,34,80,46,85,40
