model,phi,zc,z1100,age,cv,tcut,n,est.rec,sd.rec,est.lost,sd.lost,est.ratio,sd.ratio,est.chaos,sd.chaos,est.transformed,sd.transformed,est.Tanomaly,sd.Tanomaly,est.Panomaly,sd.Panomaly,est.subducted,sd.subducted,est.med.maxP,sd.med.maxP,est.iqr.maxP,sd.iqr.maxP,est.max.maxP,sd.max.maxP,est.med.maxT,sd.med.maxT,est.iqr.maxT,sd.iqr.maxT,est.max.maxT,sd.max.maxZ,est.med.maxZ,sd.med.maxZ,est.iqr.maxZ,sd.iqr.maxZ,est.max.maxZ
cdk46,68,58,46,85,80,27,18760,684.41,7.333464186160382,16199.59,7.333464186160382,0.040536010424070124,4.343440053399898e-4,12079.47,18.293043884095813,1708.6,12.57623219257724,310.48,5.236777480840515,539.74,15.583350348394537,1871.71,20.58355477736357,9891.248185057291,12.124393321929468,1735.6224896471435,17.72705848948885,28750.014796934363,75.60961519216099,585.7015393066406,1.3272661373855117,80.48042739868164,1.0419131347661903,994.7357922363282,283.1480447569162,39147.4980078125,129.37420778816465,7716.59634765625,69.28065360665411,94587.4765625
cdl46,85,65,46,85,100,20,18779,585.19,7.9234914760929245,16315.81,7.923491476092924,0.034624578427311994,4.688179087682931e-4,13953.04,15.075513626776063,1629.97,11.799208156961766,323.21,5.9344823538435785,570.67,10.624019859723438,158.54,10.482713042303159,10366.949382613739,27.93927991210765,9096.79185223202,905.1771357752882,27909.677219849567,171.9443555159948,627.2087530517579,1.126087337594448,251.56732254028321,26.913724014799836,993.2715521240234,490.1380291624621,37311.0914453125,78.97907422636735,29080.399521484374,2670.0693014948274,91916.887265625
cdm46,44,79,46,110,40,79,18739,0,0,16865,0,0,0,0,0,2283.64,61.3475806904042,16.19,1.29251926894962,218.28,11.240331423274428,14360.42,62.40065720969627,NA,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,-Inf
cdn46,72.6,70,46,110,66,32,18769,1462.96,10.178130645376056,15429.04,10.178130645376065,0.0866066777172626,6.025414779408039e-4,8083.23,19.83459634379314,2106.93,14.455962385287553,173.1,4.026427847623899,413.09,5.146529673164982,4886.24,18.02642280631183,11652.22890839857,10.115080304175567,1486.4135757619204,37.907325072367556,31607.463321785217,198.2151217928675,717.6272384643555,0.9768954066546662,187.34652389526366,1.6849160393644338,1008.9039569091797,598.6848646167188,44095.64982421875,42.045950668640046,4313.97861328125,95.76420696133994,103751.77828125
cdo46,88,68,46,110,80,28,18764,943.59,9.634843123798229,15943.41,9.634843123798229,0.055876709895185644,5.705479436133256e-4,11682.4,18.67532266836846,1776,12.617128008858403,241.72,4.458744670914006,823.39,20.30220916476079,1693.96,22.520437407166437,11995.110760544176,11.803962479985207,11755.940781130636,123.46573805599502,29295.956212393026,31.861656988366438,676.491476135254,0.5561245192130589,214.26124450683594,2.557180013319119,998.9314593505859,105.56872644287546,41421.727578125,60.29161551097545,38660.738525390625,352.42828135613604,96706.154609375
cdp46,110,64,46,110,100,24,18771,922.1,9.381369889845569,15970.9,9.381369889845573,0.05458473924110578,5.553406671310938e-4,12752.41,17.66243231130737,1512.18,11.852954283743994,262.13,4.789835618528603,715.05,8.521363527255264,993.92,10.82149002978086,12894.448783685071,18.877866833706722,1785.9173290851456,32.436748619085435,28744.471337355662,52.57477496769276,766.9997134399414,1.125821052559232,111.49018447875977,3.159821672258219,997.4790020751954,177.90577632468634,45748.77689453125,68.17353660233222,6038.596826171875,137.3357556107416,95018.37234375
cda62,13,80,62,32.6,40,57,18942,1371.65,11.330993519608688,15675.35,11.33099351960868,0.08046283803601807,6.64691354467571e-4,643.04,7.636859050788883,3876.83,15.526487631844443,16.24,1.295836378248395,30.31,4.3500725641225015,11125.17,18.588067748592454,12152.320504128604,30.984910594102132,3695.805934780924,20.966148291218726,27199.586539424836,367.3147917025225,644.1788244628906,0.4747424966718967,61.3406332397461,1.6655666282818173,966.4354150390625,1167.2182235782107,41657.08279296875,113.48122569034413,12030.724921875,63.291924958575365,89273.105390625
cdb62,21.5,79,62,32.6,66,41,19034,1401.3,10.836246694508317,15728.7,10.836246694508318,0.08180385288966725,6.325888321370878e-4,16.84,1.4122122483335973,2910.68,16.25670335708947,13.57,1.1033008326257743,30.63,5.967343790933443,12771.45,17.916966170858174,10153.476541189595,16.025040957185105,2555.996609451676,243.36642965849282,26787.689809401003,576.970511202988,600.1187219238282,0.4130372693930924,63.28388580322266,0.7165672730423328,945.0194616699218,1811.4484903228029,35745.7181640625,41.50239620554014,7796.383935546875,641.1519111223168,87893.845390625
cdc62,26.1,78,62,32.6,80,42,19036,1257.81,10.169964691098087,15874.19,10.169964691098079,0.07341874854074247,5.936239021187305e-4,11.7,1.0200019805882934,2838.47,15.42820125417717,10.02,0.9209130295966111,40.68,4.6772175100548425,12987.79,18.088053426714453,9695.981960386236,6.92919614481353,739.4442070184496,10.529532983103628,23253.650404179494,101.34882048024441,600.9771383666993,0.7224214571616029,57.16577941894531,0.5878644542179297,895.8872497558593,313.85915883265403,34397.86845703125,13.453821828808008,2200.937373046875,24.796237736365875,76771.35234375
cdd62,32.6,77,62,32.6,100,35,19028,1276.07,9.465786344045126,15848.93,9.465786344045119,0.07451503649635037,5.52746647827452e-4,40.21,2.3410910000909984,2280.07,13.353965097991834,15.39,1.0139930069688936,73.44,4.395406233739487,13455.27,15.911278637456753,9694.78338475007,9.05833162634359,693.0042638995709,6.6793519382435385,18938.125564824928,177.13112770806612,614.3080822753906,0.5936512544468986,47.91054473876953,0.41395687508560475,764.5940069580079,564.7418636290311,34385.7946875,11.984764211960691,2166.904921875,19.97535810948311,63151.23328125
