T,P,grad,reference
525,1.3,11.538461538461538,"Zhang et al., 1997"
550,1.3,12.087912087912088,"Krebs et al., 2011"
615,1.3,13.516483516483516,Stanek et al. 2006
400,1.35,8.465608465608465,"Rimmele et al., 2005"
682,1.375,14.17142857142857,"Willner et al., 2004"
400,1.4,8.16326530612245,"Bousquet et al., 2002"
410,1.4,8.36734693877551,Potel et al. 2006
540,1.4,11.020408163265309,"Markl and Bucher, 1997"
700,1.4,14.285714285714286,"Tenczer and Stüwe, 2003"
475,1.45,9.35960591133005,Fitzherbert et al. 2003
710,1.45,13.990147783251231,"Neubauer et al., 1999"
375,1.5,7.142857142857143,"Agard et al., 2000"
445,1.5,8.476190476190476,"Krebs et al., 2008"
450,1.5,8.571428571428571,Rosenbaum et al. 2002
470,1.5,8.952380952380953,Rosenbaum et al. 2002
470,1.5,8.952380952380953,Spear et al. 2006
500,1.5,9.523809523809524,"Ganne et al., 2003"
500,1.5,9.523809523809524,Keiter et al. 2004
545,1.5,10.38095238095238,"Krebs et al., 2011"
550,1.5,10.476190476190476,Krogh et al. 1994
565,1.5,10.761904761904765,Fitzherbert et al. 2003
600,1.5,11.428571428571429,John et al. 2010
657,1.5,12.514285714285714,"Garcia-Casco et al., 2006"
680,1.5,12.952380952380953,"Markl and Bucher, 1997"
700,1.5,13.333333333333334,"Perchuk et al., 1999"
700,1.5,13.333333333333334,"Tenczer and Stüwe, 2003"
700,1.5,13.333333333333334,"Tenczer and Stüwe, 2003"
750,1.5,14.285714285714286,"Garcia-Casco et al., 2008"
390,1.55,7.188940092165899,"Agard et al., 2005"
490,1.55,9.03225806451613,"Davis and Whitney, 2006"
500,1.55,9.216589861751151,Schumacher et al. 2008
700,1.55,12.903225806451612,"Hoinkes et al., 1999"
360,1.6,6.428571428571429,"Zack et al., 2004"
420,1.6,7.5,"Oberhänsli et al., 2007"
450,1.6,8.035714285714286,Vitale Brovarone and Agard 2013
475,1.6,8.482142857142858,"Okrusch and Broecker, 1990"
480,1.6,8.571428571428571,"Kosminska et al., 2014"
600,1.6,10.714285714285714,"Schneider et al., 2004"
680,1.6,12.142857142857142,"Engvik and Andersen, 2000"
525,1.65,9.090909090909092,"Cuthbert et al., 2000"
625,1.65,10.822510822510823,"Ota et al., 2002"
775,1.65,13.41991341991342,"Garcia-Casco et al., 2006"
360,1.7,6.050420168067227,"Krebs et al., 2011"
375,1.7,6.302521008403361,"Krebs et al., 2011"
375,1.7,6.302521008403361,"Bousquet et al., 2002"
380,1.7,6.38655462184874,"Krebs et al., 2011"
380,1.7,6.38655462184874,Klemd et al. 2011
495,1.7,8.319327731092438,Vitale Brovarone and Agard 2013
510,1.7,8.571428571428571,"Aoki et al., 2009"
570,1.7,9.579831932773107,"Dachs and Proyer, 2001"
575,1.7,9.663865546218489,John et al. 2010
610,1.7,10.252100840336135,Fitzherbert et al. 2003
640,1.7,10.756302521008404,"Dale and Holland, 2003"
700,1.7,11.764705882352942,"Peterman et al., 2009"
500,1.75,8.16326530612245,Agard et al. 2006
520,1.75,8.489795918367347,"Krebs et al., 2011"
600,1.75,9.79591836734694,"Omrani et al., 2013"
625,1.75,10.20408163265306,"Hoinkes et al., 1999"
640,1.75,10.448979591836734,"Escuder-Viruete and Perez-Estaun, 2013"
775,1.75,12.653061224489797,"Zhimulev et al., 2010"
485,1.8,7.698412698412699,Sisson et al. 1997
535,1.8,8.492063492063492,Ko et al. 2005
540,1.8,8.571428571428571,Klemd et al. 2011
584,1.8,9.26984126984127,"Cartwright and Barnicoat, 2002"
600,1.8,9.523809523809524,"Braathen and Erambert, 2014"
600,1.8,9.523809523809524,"Hoinkes et al., 1999"
600,1.8,9.523809523809524,"Davis and Whitney, 2006"
605,1.8,9.603174603174605,Stanek et al. 2006
